n,k,m,R,exact_profile,cube_dimension,embedding_gate,hamming_sharp,scope
6,3,3,1,9,0,True,True,computed exact profile
6,3,3,2,14,1,True,True,computed exact profile
6,3,3,3,18,2,True,True,computed exact profile
6,3,3,4,20,2,True,True,computed exact profile
6,3,3,5,23,3,True,True,computed exact profile
6,3,3,6,24,3,True,True,computed exact profile
6,3,3,7,25,3,True,True,computed exact profile
5,3,2,1,6,0,True,True,computed exact profile
5,3,2,2,9,1,True,True,computed exact profile
5,3,2,3,11,2,True,True,computed exact profile
5,3,2,4,12,2,True,True,computed exact profile
5,3,2,5,14,3,False,False,computed exact profile
5,3,2,6,15,3,False,False,computed exact profile
5,3,2,7,17,3,False,False,computed exact profile
5,4,1,1,4,0,True,True,computed exact profile
5,4,1,2,6,1,True,True,computed exact profile
5,4,1,3,8,2,False,False,computed exact profile
5,4,1,4,10,2,False,False,computed exact profile
5,4,1,5,11,3,False,False,computed exact profile
5,4,1,6,12,3,False,False,computed exact profile
5,4,1,7,14,3,False,False,computed exact profile
5,4,1,8,16,3,False,False,computed exact profile
6,4,2,1,8,0,True,True,computed exact profile
6,4,2,2,13,1,True,True,computed exact profile
6,4,2,3,17,2,True,True,computed exact profile
6,4,2,4,20,2,True,True,computed exact profile
6,4,2,5,24,3,False,False,computed exact profile
6,4,2,6,27,3,False,False,computed exact profile
