R,nk1,constant,coeff,formula_at_2R
2,1,1,3,5
3,2,3,7,18
4,4,4,12,44
5,5,7,20,93
6,7,9,29,165
7,9,11,40,269
8,12,12,52,404
9,13,16,68,596
10,15,19,85,831
11,17,22,104,1122
12,20,24,124,1464
13,22,27,147,1884
14,25,29,171,2365
15,28,31,197,2924
16,32,32,224,3552
17,33,37,256,4315
18,35,41,289,5161
19,37,45,324,6111
20,40,48,360,7152
21,42,52,399,8327
22,45,55,439,9603
23,48,58,481,11005
24,52,60,524,12516
25,54,64,571,14211
26,57,67,619,16027
27,60,70,669,17993
28,64,72,720,20088
29,67,75,774,22371
30,71,77,829,24793
31,75,79,886,27387
32,80,80,944,30128
33,81,86,1008,33178
34,83,91,1073,36391
35,85,96,1140,39804
36,88,100,1208,43388
37,90,105,1279,47218
38,93,109,1351,51229
39,96,113,1425,55462
40,100,116,1500,59884
41,102,121,1579,64618
42,105,125,1659,69553
43,108,129,1741,74734
44,112,132,1824,80124
45,115,136,1910,85814
46,119,139,1997,91723
47,123,142,2086,97900
48,128,144,2176,104304
49,130,149,2271,111130
50,133,153,2367,118197
51,136,157,2465,125558
52,140,160,2564,133168
53,143,164,2666,141134
54,147,167,2769,149359
55,151,170,2874,157900
56,156,172,2980,166708
57,159,176,3090,175954
58,163,179,3201,185479
59,167,182,3314,195344
60,172,184,3428,205496
61,176,187,3545,216058
62,181,189,3663,226917
63,186,191,3783,238138
64,192,192,3904,249664
65,193,199,4032,261881
66,195,205,4161,274421
67,197,211,4292,287353
68,200,216,4424,300616
69,202,222,4559,314349
70,205,227,4695,328423
71,208,232,4833,342911
72,212,236,4972,357748
73,214,242,5115,373153
74,217,247,5259,388919
75,220,252,5405,405123
76,224,256,5552,421696
77,227,261,5702,438793
78,231,265,5853,456269
79,235,269,6006,474205
80,240,272,6160,492528
81,242,278,6319,511561
82,245,283,6479,530995
83,248,288,6641,550915
84,252,292,6804,571244
85,255,297,6970,592153
86,259,301,7137,613481
87,263,305,7306,635317
88,268,308,7476,657580
89,271,313,7650,680537
90,275,317,7825,703933
91,279,321,8002,727861
92,284,324,8180,752236
93,288,328,8361,777245
94,293,331,8543,802711
95,298,334,8727,828731
96,304,336,8912,855216
97,306,342,9103,882649
98,309,347,9295,910563
99,312,352,9489,939059
100,316,356,9684,968044
101,319,361,9882,997721
102,323,365,10081,1027897
103,327,369,10282,1058677
104,332,372,10484,1089964
105,335,377,10690,1122073
106,339,381,10897,1154701
107,343,385,11106,1187957
108,348,388,11316,1221740
109,352,392,11529,1256269
110,357,395,11743,1291335
111,362,398,11959,1327051
112,368,400,12176,1363312
113,371,405,12398,1400569
114,375,409,12621,1438385
115,379,413,12846,1476877
116,384,416,13072,1515936
117,388,420,13301,1555797
118,393,423,13531,1596235
119,398,426,13763,1637371
120,404,428,13996,1679092
121,408,432,14233,1721761
122,413,435,14471,1765027
123,418,438,14711,1809015
124,424,440,14952,1853608
125,429,443,15196,1899057
126,435,445,15441,1945121
127,441,447,15688,1991929
