R,nk1,constant,coeff,formula_at_2R,digest,verified
2,1,1,3,5,9f1e438f72ea29a7,true
3,2,3,7,18,676e129db849bb47,true
4,4,4,12,44,a740d5e42b2bb201,true
5,5,7,20,93,ee9209798bc62a02,true
6,7,9,29,165,9a520278fae701ad,true
7,9,11,40,269,80037ac8fb740ec0,true
8,12,12,52,404,76e7d8c089c5cc8d,true
9,13,16,68,596,1b2961710b2e22f1,true
10,15,19,85,831,b0185b1f17e55f73,true
11,17,22,104,1122,73098a72fccb9de9,true
12,20,24,124,1464,60c7ef8e6d1abe85,true
13,22,27,147,1884,b921aad9caebba85,true
14,25,29,171,2365,35c27a9ad57d6caf,true
15,28,31,197,2924,644577ed0a241649,true
16,32,32,224,3552,ab686db697671555,true
17,33,37,256,4315,baa1c2ce354d3810,true
18,35,41,289,5161,63dcbbe47f92b43d,true
19,37,45,324,6111,bba52eb612c14dde,true
20,40,48,360,7152,990e06778b738bc9,true
21,42,52,399,8327,ccc832eb5aaaea2e,true
22,45,55,439,9603,79bff4d74d07ae69,true
23,48,58,481,11005,3197be44592220b8,true
24,52,60,524,12516,288d585f8847fcd5,true
25,54,64,571,14211,ce9070de8eceecca,true
26,57,67,619,16027,ba1f7f14fbcfc845,true
27,60,70,669,17993,c14bfc1cd85373c4,true
28,64,72,720,20088,8e4190776b949991,true
29,67,75,774,22371,f94b32fcd9832990,true
30,71,77,829,24793,cf46031feb96b831,true
31,75,79,886,27387,fb2944e2eb3cadde,true
32,80,80,944,30128,2b49389756745165,true
33,81,86,1008,33178,9846928c1e9bda83,true
34,83,91,1073,36391,6159f31085c4ec4f,true
35,85,96,1140,39804,78dbc75b29791ff3,true
36,88,100,1208,43388,538bafbf3210789d,true
37,90,105,1279,47218,7619a4b022888f53,true
38,93,109,1351,51229,02036f35841a84f3,true
39,96,113,1425,55462,c9bff7df58462f73,true
40,100,116,1500,59884,5371ad701592cf3d,true
41,102,121,1579,64618,b2e898eb42f606b3,true
42,105,125,1659,69553,746c38416d32dc9b,true
43,108,129,1741,74734,16ad8f99476222c3,true
44,112,132,1824,80124,106e737b7ffd459d,true
45,115,136,1910,85814,27be20254e9719b3,true
46,119,139,1997,91723,1c18ef5531a655f7,true
47,123,142,2086,97900,e66dad0439bc2abf,true
